search URL:,https://patents.google.com/?q=blockchain&q=block-chain&country=US&status=GRANT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9569771-B2,Method and system for storage and retrieval of blockchain blocks using galois fields ,"Stephen Lesavich, Zachary C. LESAVICH","Stephen Lesavich, Zachary C. LESAVICH",2011-04-29,2016-06-06,2017-02-14,2017-02-14,https://patents.google.com/patent/US9569771B2/en,https://patentimages.storage.googleapis.com/6a/88/4c/76089aeab0fabb/US09569771-20170214-D00000.png
US-9635000-B1,Blockchain identity management system based on public identities ledger ,Sead Muftic,Sead Muftic,2016-05-25,2016-05-25,2017-04-25,2017-04-25,https://patents.google.com/patent/US9635000B1/en,https://patentimages.storage.googleapis.com/77/26/cf/3a04a6e42eadb5/US09635000-20170425-D00000.png
US-9608829-B2,System and method for creating a multi-branched blockchain with configurable protocol rules ,Blockchain Technologies Corporation,"Nikolaos Spanos, Andrew R. Martin, Eric T. Dixon, Asterios Steven Geros",2014-07-25,2015-07-24,2017-03-28,2017-03-28,https://patents.google.com/patent/US9608829B2/en,https://patentimages.storage.googleapis.com/d7/f5/97/688b360071c952/US09608829-20170328-D00000.png
US-9807106-B2,Mitigating blockchain attack ,British Telecommunications Public Limited Company,"Joshua DANIEL, Gery Ducatel, Theo Dimitrakos",2015-07-31,2016-07-29,2017-10-31,2017-10-31,https://patents.google.com/patent/US9807106B2/en,https://patentimages.storage.googleapis.com/c8/49/aa/2dc147d5b8b9ec/US09807106-20171031-D00000.png
US-9774578-B1,Distributed key secret for rewritable blockchain ,"Accenture Global Solutions Limited, GSC Secrypt, LLC","Giuseppe Ateniese, Michael T. Chiaramonte, David Treat, Bernardo Magri, Daniele Venturi",2016-05-23,2017-05-16,2017-09-26,2017-09-26,https://patents.google.com/patent/US9774578B1/en,https://patentimages.storage.googleapis.com/4b/92/76/d74289fa3d5f76/US09774578-20170926-D00000.png
US-9853819-B2,"Blockchain-supported, node ID-augmented digital record signature method ",Guardtime Ip Holdings Ltd.,"Ahto Truu, Andres Kroonmaa, Michael GAULT, Jeffrey Pearce",2013-08-05,2016-10-17,2017-12-26,2017-12-26,https://patents.google.com/patent/US9853819B2/en,https://patentimages.storage.googleapis.com/d9/92/db/34f28b08c0e198/US09853819-20171226-D00000.png
US-9722790-B2,Identity management service using a blockchain providing certifying transactions between devices ,"ShoCard, Inc.",Armin Ebrahimi,2015-05-05,2016-05-04,2017-08-01,2017-08-01,https://patents.google.com/patent/US9722790B2/en,https://patentimages.storage.googleapis.com/3c/8f/6f/bb2448787162e5/US09722790-20170801-D00000.png
US-9882918-B1,User behavior profile in a blockchain ,"Forcepoint, LLC","Richard Anthony Ford, Brandon L. Swafford, Christopher Brian Shirey, Matthew P. Moynahan, Richard Heath Thompson",2017-05-15,2017-09-29,2018-01-30,2018-01-30,https://patents.google.com/patent/US9882918B1/en,https://patentimages.storage.googleapis.com/06/74/c7/54e3deeecc51bd/US09882918-20180130-D00000.png
US-9934138-B1,Application testing on a blockchain ,International Business Machines Corporation,"Vijay Kumar Ananthapur Bache, Jhilam Bera, Arvind Kumar, Bidhu Sahoo",2016-12-07,2016-12-07,2018-04-03,2018-04-03,https://patents.google.com/patent/US9934138B1/en,https://patentimages.storage.googleapis.com/5f/fd/41/3a3cde0c7e7090/US09934138-20180403-D00000.png
US-9870591-B2,Distributed electronic document review in a blockchain system and computerized scoring based on textual and visual feedback ,Netspective Communications Llc,Shahid N. Shah,2013-09-12,2016-12-21,2018-01-16,2018-01-16,https://patents.google.com/patent/US9870591B2/en,https://patentimages.storage.googleapis.com/e7/6f/d4/7c3657234c4836/US09870591-20180116-D00000.png
